Bairro,Vizinho,Logradouro,Tipo
Coqueiral,Tejipió,Rua Quinze de Novembro,tertiary
Coqueiral,Totó,Rua Doutor José Cornélio,tertiary
Sancho,Coqueiral,Rua Doutor Urbano Vitalino de Melo Filho,residential
Sancho,Tejipió,Rua Doutor Urbano Vitalino de Melo Filho,residential
Sancho,Totó,Rua Josita Almeida,residential
Sancho,Curado,Rua Josita Almeida,residential
Tejipió,Barro,Avenida Doutor José Rufino,primary
Tejipió,Coqueiral,Avenida Doutor José Rufino,primary
Tejipió,Sancho,Avenida Doutor José Rufino,primary
Tejipió,Jardim São Paulo,Avenida Doutor José Rufino,primary
Tejipió,Curado,Avenida Doutor José Rufino,primary
Totó,Coqueiral,Rua Juvêncio Marques da Cunha,tertiary
Totó,Sancho,Rua Ana Carneiro D'Albuquerque,residential
Totó,Curado,Rua Juvêncio Marques da Cunha,tertiary
Caçote,Areias,Avenida Justiça e Paz,residential
Caçote,Ibura,Avenida Justiça e Paz,residential
Caçote,Ipsep,Avenida Justiça e Paz,residential
Areias,Barro,Avenida Recife,primary
Areias,Caçote,Avenida Recife,primary
Areias,Ibura,Avenida Recife,primary
Areias,Imbiribeira,Avenida Recife,primary
Areias,Ipsep,Avenida Recife,primary
Areias,Estância,Avenida Recife,primary
Areias,Jardim São Paulo,Avenida Recife,primary
Areias,Jiquiá,Avenida Recife,primary
Ibura,Boa Viagem,Rua Frei Luís de Souza,residential
Ibura,Cohab,Rua Frei Luís de Souza,residential
Ibura,Jordão,Rua Frei Luís de Souza,residential
Ibura,Barro,Rua Frei Luís de Souza,residential
Ibura,Caçote,Rua Frei Luís de Souza,residential
Ibura,Areias,Rua Frei Luís de Souza,residential
Ibura,Imbiribeira,Rua Frei Luís de Souza,residential
Ibura,Ipsep,Rua Frei Luís de Souza,residential
Imbiribeira,Afogados,Avenida Marechal Mascarenhas de Moraes,trunk
Imbiribeira,Boa Viagem,Rua Doutor Tavares Correia,tertiary
Imbiribeira,Pina,Avenida Marechal Mascarenhas de Moraes,trunk
Imbiribeira,Areias,Rua Doutor Tavares Correia,tertiary
Imbiribeira,Ibura,Rua Doutor Tavares Correia,tertiary
Imbiribeira,Ipsep,Rua Doutor Tavares Correia,tertiary
Imbiribeira,Jiquiá,Rua Doutor Tavares Correia,tertiary
Ipsep,Caçote,Rua Santos Cosme e Damião,residential
Ipsep,Areias,Rua Santos Cosme e Damião,residential
Ipsep,Ibura,Rua Santos Cosme e Damião,residential
Ipsep,Imbiribeira,Rua Francisco Barreto,residential
Estância,Areias,Primeira Travessa Príncipe da Beira,residential
Estância,Jardim São Paulo,Rua Sargento Jaime Pantaleão,residential
Estância,Jiquiá,Rua Sargento Jaime Pantaleão,residential
Estância,San Martin,Rua Sargento Jaime Pantaleão,residential
Jardim São Paulo,Barro,Rua Professora Zênia Guerra,residential
Jardim São Paulo,Tejipió,Rua Professora Zênia Guerra,residential
Jardim São Paulo,Areias,Rua Guarulhos,residential
Jardim São Paulo,Estância,Rua Guarulhos,residential
Jardim São Paulo,Jiquiá,Rua Guarulhos,residential
Jardim São Paulo,San Martin,Rua Guarulhos,residential
Jardim São Paulo,Curado,Rua Professora Zênia Guerra,residential
Jiquiá,Afogados,Rua Manoel Lopes de Barros,residential
Jiquiá,Mangueira,Rua Manoel Lopes de Barros,residential
Jiquiá,Areias,Rua Manoel Lopes de Barros,residential
Jiquiá,Imbiribeira,Rua Manoel Lopes de Barros,residential
Jiquiá,Estância,Rua Manoel Lopes de Barros,residential
Jiquiá,Jardim São Paulo,Rua Manoel Lopes de Barros,residential
Jiquiá,San Martin,Rua Manoel Lopes de Barros,residential
San Martin,Bongi,Avenida General San Martin,primary
San Martin,Mangueira,Avenida General San Martin,primary
San Martin,Mustardinha,Avenida General San Martin,primary
San Martin,Prado,Avenida General San Martin,primary
