Bairro,Vizinho,Logradouro,Tipo,Peso,Tipo Normalizado,Id Rua,Comentário OSM
Bongi,Prado,Rua Pio Muniz de Farias,residential,2.0,Rua local / de bairro	,https://openstreetmap.org/way/192029323,"Added unpaved to roads and gate barrier to roads in Recife, Brazil. #Kaart Ground Survey 2021 #Kaart-1068"
Bongi,Mustardinha,Rua Randolfo Pinto Ferreira,residential,2.0,Rua local / de bairro	,https://openstreetmap.org/way/192027730,Добавил дорогу
Ilha do Retiro,Derby,Rua João Elísio Ramos,secondary,1.5,Avenida secundária	,https://openstreetmap.org/way/129813358,Checked secondaries and updated their attributes. #Kaart 2022
Ilha do Retiro,Paissandu,Rua João Elísio Ramos,secondary,1.5,Avenida secundária	,https://openstreetmap.org/way/129813358,Checked secondaries and updated their attributes. #Kaart 2022
Ilha do Retiro,Joana Bezerra,Rua João Elísio Ramos,secondary,1.5,Avenida secundária	,https://openstreetmap.org/way/129813358,Checked secondaries and updated their attributes. #Kaart 2022
Ilha do Retiro,Afogados,Rua João Elísio Ramos,secondary,1.5,Avenida secundária	,https://openstreetmap.org/way/129813357,Fixed building and highway intersection mpr.lt/c/49049/t/247169670
Ilha do Retiro,Prado,Rua João Elísio Ramos,secondary,1.5,Avenida secundária	,https://openstreetmap.org/way/129813358,Checked secondaries and updated their attributes. #Kaart 2022
Bongi,San Martin,Rua Randolfo Pinto Ferreira,residential,2.0,Rua local / de bairro	,https://openstreetmap.org/way/192027730,Добавил дорогу
Ilha do Retiro,Madalena,Rua João Elísio Ramos,secondary,1.5,Avenida secundária	,https://openstreetmap.org/way/129813358,Checked secondaries and updated their attributes. #Kaart 2022
Mangueira,Afogados,Rua Bernadete Xavier Gomes,residential,2.0,Rua local / de bairro	,https://openstreetmap.org/way/377691660,Residential ways are modified
Mangueira,San Martin,Rua Benício Dias,residential,2.0,Rua local / de bairro	,https://openstreetmap.org/way/377691658,Added and provided connectivity to residential ways
Mustardinha,Afogados,Rua Grão Mogol,residential,2.0,Rua local / de bairro	,https://openstreetmap.org/way/192026454,Created service and residential ways
Mangueira,Jiquiá,Rua Benício Dias,residential,2.0,Rua local / de bairro	,https://openstreetmap.org/way/377691658,Added and provided connectivity to residential ways
Mustardinha,San Martin,Rua Francisca Benigna Cavalcanti,residential,2.0,Rua local / de bairro	,https://openstreetmap.org/way/192025811,Adicionado nomes de estradas e rodovias em Recife recuperadas de IBGE Map of Urban Areas. #Kaart 2019
Mustardinha,Mangueira,Rua Grão Mogol,residential,2.0,Rua local / de bairro	,https://openstreetmap.org/way/192026454,Created service and residential ways
Mustardinha,Bongi,Rua Francisca Benigna Cavalcanti,residential,2.0,Rua local / de bairro	,https://openstreetmap.org/way/192025811,Adicionado nomes de estradas e rodovias em Recife recuperadas de IBGE Map of Urban Areas. #Kaart 2019
Prado,Afogados,Rua Carlos Gomes,secondary,1.5,Avenida secundária	,https://openstreetmap.org/way/318738696,Checked secondaries and updated their attributes. #Kaart 2022
Prado,Bongi,Rua Carlos Gomes,secondary,1.5,Avenida secundária	,https://openstreetmap.org/way/318738696,Checked secondaries and updated their attributes. #Kaart 2022
Mangueira,Mustardinha,Rua Benício Dias,residential,2.0,Rua local / de bairro	,https://openstreetmap.org/way/377691658,Added and provided connectivity to residential ways
Prado,Ilha do Retiro,Rua Carlos Gomes,secondary,1.5,Avenida secundária	,https://openstreetmap.org/way/318738696,Checked secondaries and updated their attributes. #Kaart 2022
Prado,San Martin,Rua Carlos Gomes,secondary,1.5,Avenida secundária	,https://openstreetmap.org/way/318738696,Checked secondaries and updated their attributes. #Kaart 2022
Prado,Cordeiro,Rua Carlos Gomes,secondary,1.5,Avenida secundária	,https://openstreetmap.org/way/318738696,Checked secondaries and updated their attributes. #Kaart 2022
Prado,Madalena,Rua Carlos Gomes,secondary,1.5,Avenida secundária	,https://openstreetmap.org/way/318738696,Checked secondaries and updated their attributes. #Kaart 2022
Boa Viagem,Pina,Avenida Hélio Falcão,residential,2.0,Rua local / de bairro	,https://openstreetmap.org/way/968896542,"Updated classifications and access in Recife, Brazil. #Kaart Ground Survey 2021 #Kaart-1065"
Prado,Zumbi,Rua Carlos Gomes,secondary,1.5,Avenida secundária	,https://openstreetmap.org/way/318738696,Checked secondaries and updated their attributes. #Kaart 2022
Boa Viagem,Ibura,Rua Ribeiro de Brito,primary,1.2,Avenida principal,https://openstreetmap.org/way/854994655,Inclusão de Calçadas e Faixa de Pedestres no Bairro de Boa Viagem - Recife/PE.
Boa Viagem,Imbiribeira,Rua Ribeiro de Brito,primary,1.2,Avenida principal,https://openstreetmap.org/way/854994655,Inclusão de Calçadas e Faixa de Pedestres no Bairro de Boa Viagem - Recife/PE.
Boa Viagem,Jordão,Rua Ribeiro de Brito,primary,1.2,Avenida principal,https://openstreetmap.org/way/854994655,Inclusão de Calçadas e Faixa de Pedestres no Bairro de Boa Viagem - Recife/PE.
Cohab,Jordão,Rua Jornalista Nelson Rodrigues,residential,2.0,Rua local / de bairro	,https://openstreetmap.org/way/222712034,Aligned secondary and residential ways
Cohab,Barro,Rua Jornalista Nelson Rodrigues,residential,2.0,Rua local / de bairro	,https://openstreetmap.org/way/222712034,Aligned secondary and residential ways
Cohab,Ibura,Rua Jornalista Nelson Rodrigues,residential,2.0,Rua local / de bairro	,https://openstreetmap.org/way/222712034,Aligned secondary and residential ways
Jordão,Ibura,Rua Junqueiro,residential,2.0,Rua local / de bairro	,https://openstreetmap.org/way/161828581,"Added a bridge, steps and surface types in Recife, Brazil. #Kaart Ground Survey 2021 #Kaart-1067"
Jordão,Boa Viagem,Rua Junqueiro,residential,2.0,Rua local / de bairro	,https://openstreetmap.org/way/161828581,"Added a bridge, steps and surface types in Recife, Brazil. #Kaart Ground Survey 2021 #Kaart-1067"
